Name,X(m),Y(m),X Velocity Avg(m/s),Y Velocity Avg(m/s),Z Velocity Avg(m/s),Static Pressure Avg(Pa),Stagnant Pressure Avg(Pa),E Avg(V)
R-Generic-6-P-0,-0.5,-0.2,15.1233921,-0.271724433,-0.160474911,24.9881535,NaN,NaN
R-Generic-6-P-1,-0.473469377,-0.2,15.1138477,-0.248700216,-0.163251132,25.60702,NaN,NaN
R-Generic-6-P-2,-0.446938783,-0.2,15.1040926,-0.220461622,-0.162066385,26.2703743,NaN,NaN
R-Generic-6-P-3,-0.420408159,-0.2,15.0943336,-0.1885294,-0.158401817,26.900589,NaN,NaN
R-Generic-6-P-4,-0.393877566,-0.2,15.0838127,-0.1522431,-0.154344037,27.5370712,NaN,NaN
R-Generic-6-P-5,-0.367346942,-0.2,15.07313,-0.11294876,-0.151928678,28.0788937,NaN,NaN
R-Generic-6-P-6,-0.340816319,-0.2,15.061202,-0.067257166,-0.151852071,28.5505314,NaN,NaN
R-Generic-6-P-7,-0.3142857,-0.2,15.0501938,-0.015258513,-0.1533193,28.7165089,NaN,NaN
R-Generic-6-P-8,-0.287755132,-0.2,15.0410013,0.04618394,-0.156040668,28.5524826,NaN,NaN
R-Generic-6-P-9,-0.2612245,-0.2,15.0390854,0.121594764,-0.157570586,27.7904282,NaN,NaN
R-Generic-6-P-10,-0.234693885,-0.2,15.0532846,0.204737544,-0.158152014,25.9992428,NaN,NaN
R-Generic-6-P-11,-0.208163291,-0.2,15.0873976,0.302205175,-0.157390848,22.9575653,NaN,NaN
R-Generic-6-P-12,-0.181632668,-0.2,15.1512508,0.405825436,-0.156500176,17.8498363,NaN,NaN
R-Generic-6-P-13,-0.155102074,-0.2,15.2465286,0.5089412,-0.155889839,10.3300114,NaN,NaN
R-Generic-6-P-14,-0.128571421,-0.2,15.3796864,0.596788168,-0.154702708,0.075916775,NaN,NaN
R-Generic-6-P-15,-0.102040827,-0.2,15.5543175,0.658027053,-0.150014341,-13.3717966,NaN,NaN
R-Generic-6-P-16,-0.07551023,-0.2,15.7600975,0.6617808,-0.149406716,-29.10245,NaN,NaN
R-Generic-6-P-17,-0.04897958,-0.2,15.9768991,0.5983083,-0.144025892,-45.62113,NaN,NaN
R-Generic-6-P-18,-0.022448987,-0.2,16.1788387,0.454262048,-0.141625524,-61.052906,NaN,NaN
R-Generic-6-P-19,0.004081607,-0.2,16.3207474,0.250864685,-0.1356156,-71.84347,NaN,NaN
R-Generic-6-P-20,0.03061223,-0.2,16.3899937,0.013051556,-0.127950251,-77.19864,NaN,NaN
R-Generic-6-P-21,0.057142854,-0.2,16.3807449,-0.2268219,-0.124366,-76.65929,NaN,NaN
R-Generic-6-P-22,0.08367342,-0.2,16.30306,-0.430627465,-0.11744573,-70.88253,NaN,NaN
R-Generic-6-P-23,0.1102041,-0.2,16.1749382,-0.587936,-0.112014942,-61.6297646,NaN,NaN
R-Generic-6-P-24,0.136734664,-0.2,16.0239773,-0.6928308,-0.108186595,-50.48016,NaN,NaN
R-Generic-6-P-25,0.163265288,-0.2,15.8670778,-0.7447131,-0.10040579,-39.07519,NaN,NaN
R-Generic-6-P-26,0.189795852,-0.2,15.7197847,-0.753927469,-0.09130801,-28.5143948,NaN,NaN
R-Generic-6-P-27,0.216326475,-0.2,15.584445,-0.7275579,-0.08226272,-18.949295,NaN,NaN
R-Generic-6-P-28,0.242857158,-0.2,15.4771395,-0.6792156,-0.08117104,-11.2638721,NaN,NaN
R-Generic-6-P-29,0.269387722,-0.2,15.38225,-0.6214885,-0.081984274,-5.57883167,NaN,NaN
R-Generic-6-P-30,0.295918345,-0.2,15.3022556,-0.550364554,-0.06871212,-1.878521,NaN,NaN
R-Generic-6-P-31,0.322448969,-0.2,15.2359953,-0.4820228,-0.05041685,0.371159941,NaN,NaN
R-Generic-6-P-32,0.348979533,-0.2,15.183341,-0.414449,-0.023653897,1.50486553,NaN,NaN
R-Generic-6-P-33,0.375510156,-0.2,15.1423283,-0.350482672,0.000741968,2.1991384,NaN,NaN
R-Generic-6-P-34,0.402040839,-0.2,15.1142311,-0.297089279,0.023298854,2.225583,NaN,NaN
