Name,X(m),Y(m),X Velocity Avg(m/s),Y Velocity Avg(m/s),Z Velocity Avg(m/s),Static Pressure Avg(Pa),Stagnant Pressure Avg(Pa),E Avg(V)
R-Generic-5-P-0,0.8,-0.2,14.9611454,-0.13460575,-0.02466651,-5.52353859,NaN,NaN
R-Generic-5-P-1,0.8,-0.191836745,14.9254427,-0.147982016,-0.02105177,-6.32498455,NaN,NaN
R-Generic-5-P-2,0.8,-0.183673471,14.88364,-0.163433567,-0.017170055,-7.170247,NaN,NaN
R-Generic-5-P-3,0.8,-0.175510213,14.8347464,-0.178985178,-0.017589262,-8.044817,NaN,NaN
R-Generic-5-P-4,0.8,-0.167346939,14.7791824,-0.193635851,-0.019952362,-8.961275,NaN,NaN
R-Generic-5-P-5,0.8,-0.159183681,14.7132683,-0.203700587,-0.020319596,-9.876617,NaN,NaN
R-Generic-5-P-6,0.8,-0.151020408,14.6390543,-0.210712954,-0.01819952,-10.8299227,NaN,NaN
R-Generic-5-P-7,0.8,-0.142857134,14.53766,-0.20800297,-0.015836893,-11.7696972,NaN,NaN
R-Generic-5-P-8,0.8,-0.134693891,14.4168224,-0.1994648,-0.012621059,-12.7584629,NaN,NaN
R-Generic-5-P-9,0.8,-0.126530617,14.2739925,-0.179411277,-0.019827573,-13.6858358,NaN,NaN
R-Generic-5-P-10,0.8,-0.118367344,14.1142921,-0.152604163,-0.033785194,-14.5989332,NaN,NaN
R-Generic-5-P-11,0.8,-0.110204086,13.9706974,-0.114492014,-0.057114102,-15.3360758,NaN,NaN
R-Generic-5-P-12,0.8,-0.10204082,13.8369226,-0.06918233,-0.08801235,-15.95924,NaN,NaN
R-Generic-5-P-13,0.8,-0.093877554,13.736908,-0.026916992,-0.105979547,-16.43051,NaN,NaN
R-Generic-5-P-14,0.8,-0.08571428,13.6612,0.0127578,-0.116192929,-16.8083267,NaN,NaN
R-Generic-5-P-15,0.8,-0.07755102,13.5919886,0.04231638,-0.108807079,-17.1203384,NaN,NaN
R-Generic-5-P-16,0.8,-0.069387764,13.528079,0.06381669,-0.089377165,-17.3995342,NaN,NaN
R-Generic-5-P-17,0.8,-0.06122449,13.4625378,0.07681463,-0.05015879,-17.6143341,NaN,NaN
R-Generic-5-P-18,0.8,-0.053061217,13.3960075,0.08274246,0.003869513,-17.7997,NaN,NaN
R-Generic-5-P-19,0.8,-0.04489796,13.3506832,0.07870217,0.059614483,-17.91919,NaN,NaN
R-Generic-5-P-20,0.8,-0.036734685,13.3227148,0.06599126,0.115461476,-17.9911575,NaN,NaN
R-Generic-5-P-21,0.8,-0.028571427,13.3227882,0.0462242,0.1356853,-18.1117916,NaN,NaN
R-Generic-5-P-22,0.8,-0.020408168,13.3474855,0.020218238,0.124074861,-18.2681618,NaN,NaN
R-Generic-5-P-23,0.8,-0.012244895,13.3787088,-0.006319053,0.09118992,-18.5083122,NaN,NaN
R-Generic-5-P-24,0.8,-0.004081637,13.4164791,-0.033149675,0.03860739,-18.8222942,NaN,NaN
R-Generic-5-P-25,0.8,0.004081637,13.4413328,-0.053208295,-0.00670844,-19.20823,NaN,NaN
R-Generic-5-P-26,0.8,0.012244895,13.45363,-0.06612012,-0.044869274,-19.6694336,NaN,NaN
R-Generic-5-P-27,0.8,0.020408154,13.4799852,-0.07203193,-0.0808989,-20.19882,NaN,NaN
R-Generic-5-P-28,0.8,0.028571442,13.52113,-0.06995742,-0.114137717,-20.8106613,NaN,NaN
R-Generic-5-P-29,0.8,0.0367347,13.576683,-0.06647732,-0.1445475,-21.31105,NaN,NaN
R-Generic-5-P-30,0.8,0.04489796,13.6488218,-0.06106879,-0.171283662,-21.69596,NaN,NaN
R-Generic-5-P-31,0.8,0.053061232,13.7185831,-0.05776981,-0.186589926,-21.8163528,NaN,NaN
R-Generic-5-P-32,0.8,0.061224476,13.7879333,-0.05664267,-0.188121751,-21.6159039,NaN,NaN
R-Generic-5-P-33,0.8,0.06938775,13.8695726,-0.05718746,-0.18940939,-21.2088089,NaN,NaN
R-Generic-5-P-34,0.8,0.07755102,13.9686747,-0.05978427,-0.189284891,-20.5178986,NaN,NaN
