Name,X(m),Y(m),X Velocity Avg(m/s),Y Velocity Avg(m/s),Z Velocity Avg(m/s),Static Pressure Avg(Pa),Stagnant Pressure Avg(Pa),E Avg(V)
R-Generic-4-P-0,-0.5,0.2,4.944544,-0.1287524,-0.028485034,4.925394,NaN,NaN
R-Generic-4-P-1,-0.473469377,0.2,4.940788,-0.136857584,-0.028740604,5.014096,NaN,NaN
R-Generic-4-P-2,-0.446938783,0.2,4.93712044,-0.145439535,-0.029271146,5.10988855,NaN,NaN
R-Generic-4-P-3,-0.420408159,0.2,4.933977,-0.1551684,-0.02970797,5.19850731,NaN,NaN
R-Generic-4-P-4,-0.393877566,0.2,4.93043137,-0.166171357,-0.029992068,5.28970051,NaN,NaN
R-Generic-4-P-5,-0.367346942,0.2,4.92767954,-0.1792833,-0.029786063,5.367998,NaN,NaN
R-Generic-4-P-6,-0.340816319,0.2,4.925104,-0.194436908,-0.028988224,5.43565273,NaN,NaN
R-Generic-4-P-7,-0.3142857,0.2,4.923454,-0.212238446,-0.027835047,5.47391748,NaN,NaN
R-Generic-4-P-8,-0.287755132,0.2,4.92303467,-0.233482465,-0.026988087,5.47344255,NaN,NaN
R-Generic-4-P-9,-0.2612245,0.2,4.92632675,-0.258917123,-0.025908,5.41144133,NaN,NaN
R-Generic-4-P-10,-0.234693885,0.2,4.9343,-0.287616223,-0.026147284,5.229854,NaN,NaN
R-Generic-4-P-11,-0.208163291,0.2,4.949775,-0.319183528,-0.027174579,4.89900064,NaN,NaN
R-Generic-4-P-12,-0.181632668,0.2,4.975212,-0.355294436,-0.027245088,4.316653,NaN,NaN
R-Generic-4-P-13,-0.155102074,0.2,5.0098753,-0.390656263,-0.027696777,3.47433019,NaN,NaN
R-Generic-4-P-14,-0.128571421,0.2,5.05821562,-0.423871815,-0.02877794,2.29553366,NaN,NaN
R-Generic-4-P-15,-0.102040827,0.2,5.12217426,-0.4495056,-0.029280055,0.7419764,NaN,NaN
R-Generic-4-P-16,-0.07551023,0.2,5.200386,-0.45818162,-0.031239329,-1.151053,NaN,NaN
R-Generic-4-P-17,-0.04897958,0.2,5.2836,-0.444544226,-0.033108275,-3.152032,NaN,NaN
R-Generic-4-P-18,-0.022448987,0.2,5.363144,-0.4050885,-0.036333963,-5.03296,NaN,NaN
R-Generic-4-P-19,0.004081607,0.2,5.426984,-0.339342177,-0.039787658,-6.512522,NaN,NaN
R-Generic-4-P-20,0.03061223,0.2,5.464093,-0.260425657,-0.04397483,-7.32177162,NaN,NaN
R-Generic-4-P-21,0.057142854,0.2,5.47188044,-0.178585455,-0.0484343,-7.419119,NaN,NaN
R-Generic-4-P-22,0.08367342,0.2,5.45182228,-0.10440027,-0.05361765,-6.85266638,NaN,NaN
R-Generic-4-P-23,0.1102041,0.2,5.413459,-0.048527777,-0.05867169,-5.864736,NaN,NaN
R-Generic-4-P-24,0.136734664,0.2,5.3656435,-0.011543728,-0.064645186,-4.66205549,NaN,NaN
R-Generic-4-P-25,0.163265288,0.2,5.31624126,0.007849997,-0.06832015,-3.46676254,NaN,NaN
R-Generic-4-P-26,0.189795852,0.2,5.27166,0.013398615,-0.07156534,-2.4032352,NaN,NaN
R-Generic-4-P-27,0.216326475,0.2,5.23351336,0.008339259,-0.072198935,-1.51613367,NaN,NaN
R-Generic-4-P-28,0.242857158,0.2,5.205926,-0.000382503,-0.07290193,-0.8274973,NaN,NaN
R-Generic-4-P-29,0.269387722,0.2,5.187325,-0.010614524,-0.07207355,-0.342170835,NaN,NaN
R-Generic-4-P-30,0.295918345,0.2,5.17523575,-0.018394776,-0.07136936,-0.014135692,NaN,NaN
R-Generic-4-P-31,0.322448969,0.2,5.16373873,-0.024104623,-0.07143,0.1619769,NaN,NaN
R-Generic-4-P-32,0.348979533,0.2,5.15318441,-0.026536966,-0.07373434,0.2319435,NaN,NaN
R-Generic-4-P-33,0.375510156,0.2,5.14393139,-0.02635339,-0.07744248,0.254753321,NaN,NaN
R-Generic-4-P-34,0.402040839,0.2,5.13330555,-0.02275417,-0.08265679,0.213902935,NaN,NaN
R-Generic-4-P-35,0.4285714,0.2,5.121906,-0.018852111,-0.08881367,0.138870478,NaN,NaN
R-Generic-4-P-36,0.455102026,0.2,5.1104064,-0.014956357,-0.095501624,0.046271063,NaN,NaN
R-Generic-4-P-37,0.4816326,0.2,5.099074,-0.012021445,-0.102255,-0.06344766,NaN,NaN
R-Generic-4-P-38,0.5081632,0.2,5.087652,-0.009812332,-0.10866385,-0.17714864,NaN,NaN
R-Generic-4-P-39,0.534693837,0.2,5.075442,-0.008580247,-0.115572944,-0.295701653,NaN,NaN
R-Generic-4-P-40,0.561224461,0.2,5.06272125,-0.008379984,-0.123317122,-0.415198326,NaN,NaN
R-Generic-4-P-41,0.5877551,0.2,5.050401,-0.009219937,-0.1308754,-0.5442098,NaN,NaN
R-Generic-4-P-42,0.6142857,0.2,5.039582,-0.011243342,-0.137785643,-0.6708366,NaN,NaN
R-Generic-4-P-43,0.640816331,0.2,5.03058434,-0.013738138,-0.142627373,-0.7903824,NaN,NaN
R-Generic-4-P-44,0.667346835,0.2,5.02216,-0.016101282,-0.144609675,-0.907987058,NaN,NaN
R-Generic-4-P-45,0.693877459,0.2,5.014318,-0.01920846,-0.144577146,-1.01157725,NaN,NaN
