Name,X(m),Y(m),X Velocity Avg(m/s),Y Velocity Avg(m/s),Z Velocity Avg(m/s),Static Pressure Avg(Pa),Stagnant Pressure Avg(Pa),E Avg(V)
R-Generic-0-P-0,-0.5,-0.2,0.0723711,0.001079098,6.27E-09,3.11E-06,NaN,NaN
R-Generic-0-P-1,-0.5,-0.191836745,0.07233721,0.001052474,6.37E-09,3.15E-06,NaN,NaN
R-Generic-0-P-2,-0.5,-0.183673471,0.07230561,0.001024977,6.47E-09,3.19E-06,NaN,NaN
R-Generic-0-P-3,-0.5,-0.175510213,0.07227263,0.000994648,6.58E-09,3.22E-06,NaN,NaN
R-Generic-0-P-4,-0.5,-0.167346939,0.072241955,0.000963536,6.67E-09,3.26E-06,NaN,NaN
R-Generic-0-P-5,-0.5,-0.159183681,0.07221029,0.000929501,6.76E-09,3.29E-06,NaN,NaN
R-Generic-0-P-6,-0.5,-0.151020408,0.07218092,0.00089492,6.84E-09,3.33E-06,NaN,NaN
R-Generic-0-P-7,-0.5,-0.142857134,0.07215095,0.000857311,6.93E-09,3.36E-06,NaN,NaN
R-Generic-0-P-8,-0.5,-0.134693891,0.07212326,0.000819288,7.00E-09,3.39E-06,NaN,NaN
R-Generic-0-P-9,-0.5,-0.126530617,0.072095454,0.000778268,7.07E-09,3.42E-06,NaN,NaN
R-Generic-0-P-10,-0.5,-0.118367344,0.072069794,0.000736995,7.13E-09,3.45E-06,NaN,NaN
R-Generic-0-P-11,-0.5,-0.110204086,0.07204449,0.000692803,7.20E-09,3.48E-06,NaN,NaN
R-Generic-0-P-12,-0.5,-0.10204082,0.07202132,0.000648462,7.25E-09,3.50E-06,NaN,NaN
R-Generic-0-P-13,-0.5,-0.093877554,0.07199888,0.000601378,7.31E-09,3.53E-06,NaN,NaN
R-Generic-0-P-14,-0.5,-0.08571428,0.07197855,0.000554251,7.36E-09,3.55E-06,NaN,NaN
R-Generic-0-P-15,-0.5,-0.07755102,0.07195934,0.000504627,7.42E-09,3.57E-06,NaN,NaN
R-Generic-0-P-16,-0.5,-0.069387764,0.07194213,0.000455052,7.47E-09,3.59E-06,NaN,NaN
R-Generic-0-P-17,-0.5,-0.06122449,0.071926445,0.000403293,7.51E-09,3.60E-06,NaN,NaN
