Name,X(m),Y(m),X Velocity Avg(m/s),Y Velocity Avg(m/s),Z Velocity Avg(m/s),Static Pressure Avg(Pa),Stagnant Pressure Avg(Pa),E Avg(V)
R-Generic-5-P-0,0.8,-0.2,5.00692558,0.060604353,-0.058964685,-1.31884027,NaN,NaN
R-Generic-5-P-1,0.8,-0.191836745,5.001171,0.06267271,-0.032957472,-1.5445416,NaN,NaN
R-Generic-5-P-2,0.8,-0.183673471,4.997456,0.0631531,-0.002648891,-1.78955185,NaN,NaN
R-Generic-5-P-3,0.8,-0.175510213,4.994861,0.06251997,0.027724512,-2.03332829,NaN,NaN
R-Generic-5-P-4,0.8,-0.167346939,4.993103,0.060699657,0.058466345,-2.28578234,NaN,NaN
R-Generic-5-P-5,0.8,-0.159183681,4.98801374,0.0565951,0.083077826,-2.55266547,NaN,NaN
R-Generic-5-P-6,0.8,-0.151020408,4.98065233,0.050808344,0.10382124,-2.836947,NaN,NaN
R-Generic-5-P-7,0.8,-0.142857134,4.961112,0.041671127,0.117833227,-3.13716078,NaN,NaN
R-Generic-5-P-8,0.8,-0.134693891,4.933322,0.029933048,0.127108335,-3.45677471,NaN,NaN
R-Generic-5-P-9,0.8,-0.126530617,4.887841,0.018779421,0.131318837,-3.7844348,NaN,NaN
R-Generic-5-P-10,0.8,-0.118367344,4.830098,0.007704351,0.131599292,-4.12794256,NaN,NaN
R-Generic-5-P-11,0.8,-0.110204086,4.75793934,-0.000523094,0.129386544,-4.47104025,NaN,NaN
R-Generic-5-P-12,0.8,-0.10204082,4.67534733,-0.006807653,0.125643492,-4.8221426,NaN,NaN
R-Generic-5-P-13,0.8,-0.093877554,4.58781,-0.012807296,0.11855714,-5.14264965,NaN,NaN
R-Generic-5-P-14,0.8,-0.08571428,4.49593,-0.018364545,0.10950774,-5.44588,NaN,NaN
R-Generic-5-P-15,0.8,-0.07755102,4.406135,-0.023239559,0.09901213,-5.695785,NaN,NaN
R-Generic-5-P-16,0.8,-0.069387764,4.317512,-0.027488412,0.08737628,-5.90795326,NaN,NaN
R-Generic-5-P-17,0.8,-0.06122449,4.23170328,-0.0312368,0.077905156,-6.07071972,NaN,NaN
R-Generic-5-P-18,0.8,-0.053061217,4.14810276,-0.034593158,0.070191935,-6.19487,NaN,NaN
R-Generic-5-P-19,0.8,-0.04489796,4.0658,-0.037256304,0.06323612,-6.295988,NaN,NaN
R-Generic-5-P-20,0.8,-0.036734685,3.98446274,-0.039162483,0.05708498,-6.38035631,NaN,NaN
R-Generic-5-P-21,0.8,-0.028571427,3.90983725,-0.040495332,0.054076884,-6.45398,NaN,NaN
R-Generic-5-P-22,0.8,-0.020408168,3.84126544,-0.041230235,0.053966343,-6.520957,NaN,NaN
R-Generic-5-P-23,0.8,-0.012244895,3.79077983,-0.041765366,0.06044411,-6.565608,NaN,NaN
R-Generic-5-P-24,0.8,-0.004081637,3.75744319,-0.04189873,0.073331565,-6.58916426,NaN,NaN
R-Generic-5-P-25,0.8,0.004081637,3.74461341,-0.042177208,0.088066034,-6.60850334,NaN,NaN
R-Generic-5-P-26,0.8,0.012244895,3.75242543,-0.04242495,0.104900263,-6.622759,NaN,NaN
R-Generic-5-P-27,0.8,0.020408154,3.77988315,-0.04501106,0.119258724,-6.636134,NaN,NaN
R-Generic-5-P-28,0.8,0.028571442,3.82848549,-0.05011549,0.131175354,-6.645312,NaN,NaN
R-Generic-5-P-29,0.8,0.0367347,3.89426947,-0.055763826,0.142243072,-6.61741543,NaN,NaN
R-Generic-5-P-30,0.8,0.04489796,3.97929239,-0.06187449,0.152923763,-6.54169941,NaN,NaN
R-Generic-5-P-31,0.8,0.053061232,4.072087,-0.067304015,0.164039671,-6.423941,NaN,NaN
R-Generic-5-P-32,0.8,0.061224476,4.173976,-0.071813725,0.17680192,-6.251211,NaN,NaN
R-Generic-5-P-33,0.8,0.06938775,4.27390862,-0.07668803,0.188805431,-6.03833532,NaN,NaN
R-Generic-5-P-34,0.8,0.07755102,4.371445,-0.08230259,0.1997985,-5.773942,NaN,NaN
