Name,X(m),Y(m),X Velocity Avg(m/s),Y Velocity Avg(m/s),Z Velocity Avg(m/s),Static Pressure Avg(Pa),Stagnant Pressure Avg(Pa),E Avg(V)
R-Generic-6-P-0,-0.5,-0.2,0.0723711,0.001079098,6.27E-09,3.11E-06,NaN,NaN
R-Generic-6-P-1,-0.473469377,-0.2,0.07228547,0.001225915,6.91E-09,3.19E-06,NaN,NaN
R-Generic-6-P-2,-0.446938783,-0.2,0.07219448,0.001395142,7.64E-09,3.27E-06,NaN,NaN
R-Generic-6-P-3,-0.420408159,-0.2,0.07210057,0.001591112,8.45E-09,3.35E-06,NaN,NaN
R-Generic-6-P-4,-0.393877566,-0.2,0.072005734,0.001818683,9.34E-09,3.43E-06,NaN,NaN
R-Generic-6-P-5,-0.367346942,-0.2,0.071908,0.002087733,1.03E-08,3.51E-06,NaN,NaN
R-Generic-6-P-6,-0.340816319,-0.2,0.07181457,0.002400056,1.15E-08,3.58E-06,NaN,NaN
R-Generic-6-P-7,-0.3142857,-0.2,0.07173774,0.002766962,1.27E-08,3.64E-06,NaN,NaN
R-Generic-6-P-8,-0.287755132,-0.2,0.071675696,0.00319855,1.42E-08,3.67E-06,NaN,NaN
R-Generic-6-P-9,-0.2612245,-0.2,0.07165141,0.00370926,1.59E-08,3.68E-06,NaN,NaN
R-Generic-6-P-10,-0.234693885,-0.2,0.07168282,0.004305831,1.76E-08,3.62E-06,NaN,NaN
R-Generic-6-P-11,-0.208163291,-0.2,0.0718307,0.004985822,1.94E-08,3.45E-06,NaN,NaN
R-Generic-6-P-12,-0.181632668,-0.2,0.07212985,0.005764055,2.12E-08,3.14E-06,NaN,NaN
R-Generic-6-P-13,-0.155102074,-0.2,0.07259276,0.006564831,2.31E-08,2.67E-06,NaN,NaN
R-Generic-6-P-14,-0.128571421,-0.2,0.07328902,0.007381061,2.51E-08,1.98E-06,NaN,NaN
R-Generic-6-P-15,-0.102040827,-0.2,0.074260466,0.008128726,2.74E-08,1.03E-06,NaN,NaN
R-Generic-6-P-16,-0.07551023,-0.2,0.07552006,0.008680666,2.99E-08,-1.70E-07,NaN,NaN
R-Generic-6-P-17,-0.04897958,-0.2,0.07696194,0.008926568,3.25E-08,-1.53E-06,NaN,NaN
R-Generic-6-P-18,-0.022448987,-0.2,0.078482255,0.008799596,3.50E-08,-2.95E-06,NaN,NaN
