Name,X(m),Y(m),X Velocity Avg(m/s),Y Velocity Avg(m/s),Z Velocity Avg(m/s),Static Pressure Avg(Pa),Stagnant Pressure Avg(Pa),E Avg(V)
R-Generic-6-P-0,-0.5,0.2,0.00722021,-0.000134482776,2.979037E-15,1.72243472E-05,NaN,NaN
R-Generic-6-P-1,-0.473469377,0.2,0.007209241,-0.000152503373,2.37554117E-15,1.76009471E-05,NaN,NaN
R-Generic-6-P-2,-0.446938783,0.2,0.00719753839,-0.000173226,1.772675E-15,1.79988638E-05,NaN,NaN
R-Generic-6-P-3,-0.420408159,0.2,0.00718538,-0.00019717215,1.1824635E-15,1.84073579E-05,NaN,NaN
R-Generic-6-P-4,-0.393877566,0.2,0.007172996,-0.000224922027,6.121531E-16,1.88176036E-05,NaN,NaN
R-Generic-6-P-5,-0.367346942,0.2,0.007160073,-0.00025763546,6.38210341E-17,1.92350981E-05,NaN,NaN
R-Generic-6-P-6,-0.340816319,0.2,0.00714750774,-0.000295530976,-4.498284E-16,1.96292549E-05,NaN,NaN
R-Generic-6-P-7,-0.3142857,0.2,0.007136686,-0.0003399853,-9.093055E-16,1.994704E-05,NaN,NaN
R-Generic-6-P-8,-0.287755132,0.2,0.007127345,-0.000392179645,-1.31033159E-15,2.01737021E-05,NaN,NaN
R-Generic-6-P-9,-0.2612245,0.2,0.00712269,-0.000453911751,-1.62934284E-15,2.02273968E-05,NaN,NaN
R-Generic-6-P-10,-0.234693885,0.2,0.007124961,-0.0005259058,-1.852644E-15,1.99811857E-05,NaN,NaN
R-Generic-6-P-11,-0.208163291,0.2,0.00713674538,-0.0006081229,-1.97052263E-15,1.93337928E-05,NaN,NaN
R-Generic-6-P-12,-0.181632668,0.2,0.0071671647,-0.000701113837,-1.975258E-15,1.79856161E-05,NaN,NaN
R-Generic-6-P-13,-0.155102074,0.2,0.00721742865,-0.000799938454,-1.86163421E-15,1.58663333E-05,NaN,NaN
R-Generic-6-P-14,-0.128571421,0.2,0.00729376031,-0.0009005586,-1.6291458E-15,1.2743275E-05,NaN,NaN
R-Generic-6-P-15,-0.102040827,0.2,0.00740206661,-0.0009947396,-1.27483213E-15,8.41664951E-06,NaN,NaN
R-Generic-6-P-16,-0.07551023,0.2,0.00754131936,-0.00106683362,-8.363807E-16,2.96646635E-06,NaN,NaN
