Name,X(m),Y(m),X Velocity Avg(m/s),Y Velocity Avg(m/s),Z Velocity Avg(m/s),Static Pressure Avg(Pa),Stagnant Pressure Avg(Pa),E Avg(V)
R-Generic-1-P-0,-0.5,-0.2,7.165188E-05,2.222865E-06,-2.87625284E-12,1.0525415E-09,NaN,NaN
R-Generic-1-P-1,-0.5,-0.191836745,7.158103E-05,2.16771582E-06,-2.872856E-12,1.06036069E-09,NaN,NaN
R-Generic-1-P-2,-0.5,-0.183673471,7.15149E-05,2.11058659E-06,-2.86837481E-12,1.06771381E-09,NaN,NaN
R-Generic-1-P-3,-0.5,-0.175510213,7.144604E-05,2.047801E-06,-2.86239413E-12,1.07525056E-09,NaN,NaN
R-Generic-1-P-4,-0.5,-0.167346939,7.138186E-05,1.983431E-06,-2.85548538E-12,1.082314E-09,NaN,NaN
R-Generic-1-P-5,-0.5,-0.159183681,7.13159461E-05,1.913111E-06,-2.8469204E-12,1.08948894E-09,NaN,NaN
R-Generic-1-P-6,-0.5,-0.151020408,7.125467E-05,1.841583E-06,-2.83755745E-12,1.09619369E-09,NaN,NaN
R-Generic-1-P-7,-0.5,-0.142857134,7.119232E-05,1.7639635E-06,-2.82642985E-12,1.10292564E-09,NaN,NaN
R-Generic-1-P-8,-0.5,-0.134693891,7.11345856E-05,1.68546944E-06,-2.81462527E-12,1.10919163E-09,NaN,NaN
R-Generic-1-P-9,-0.5,-0.126530617,7.107679E-05,1.60092065E-06,-2.80099186E-12,1.11540555E-09,NaN,NaN
R-Generic-1-P-10,-0.5,-0.118367344,7.10234162E-05,1.51579184E-06,-2.78678057E-12,1.12116083E-09,NaN,NaN
R-Generic-1-P-11,-0.5,-0.110204086,7.097086E-05,1.42478859E-06,-2.770722E-12,1.12678178E-09,NaN,NaN
R-Generic-1-P-12,-0.5,-0.10204082,7.092272E-05,1.33343792E-06,-2.754157E-12,1.1319542E-09,NaN,NaN
R-Generic-1-P-13,-0.5,-0.0938775539,7.087616E-05,1.23656753E-06,-2.735775E-12,1.13691012E-09,NaN,NaN
R-Generic-1-P-14,-0.5,-0.08571428,7.083388E-05,1.13955912E-06,-2.71694472E-12,1.141426E-09,NaN,NaN
R-Generic-1-P-15,-0.5,-0.07755102,7.079411E-05,1.0375395E-06,-2.69636375E-12,1.145654E-09,NaN,NaN
R-Generic-1-P-16,-0.5,-0.0693877637,7.075839E-05,9.355739E-07,-2.67537663E-12,1.14944843E-09,NaN,NaN
R-Generic-1-P-17,-0.5,-0.06122449,7.072587E-05,8.29222529E-07,-2.652741E-12,1.152894E-09,NaN,NaN
R-Generic-1-P-18,-0.5,-0.0530612171,7.069744E-05,7.23102858E-07,-2.629732E-12,1.155912E-09,NaN,NaN
R-Generic-1-P-19,-0.5,-0.04489796,7.067271E-05,6.1332014E-07,-2.605199E-12,1.1585275E-09,NaN,NaN
R-Generic-1-P-20,-0.5,-0.0367346853,7.065204E-05,5.039603E-07,-2.580323E-12,1.16071841E-09,NaN,NaN
R-Generic-1-P-21,-0.5,-0.0285714269,7.063544E-05,3.91718714E-07,-2.55406677E-12,1.162471E-09,NaN,NaN
R-Generic-1-P-22,-0.5,-0.0204081684,7.062286E-05,2.80117149E-07,-2.52748517E-12,1.16380039E-09,NaN,NaN
R-Generic-1-P-23,-0.5,-0.0122448951,7.06147039E-05,1.66436166E-07,-2.49966085E-12,1.16466659E-09,NaN,NaN
R-Generic-1-P-24,-0.5,-0.00408163667,7.061048E-05,5.36538636E-08,-2.47151887E-12,1.16511323E-09,NaN,NaN
R-Generic-1-P-25,-0.5,0.00408163667,7.061081E-05,-6.042167E-08,-2.442299E-12,1.16508037E-09,NaN,NaN
R-Generic-1-P-26,-0.5,0.0122448951,7.061506E-05,-1.732855E-07,-2.41282168E-12,1.1646345E-09,NaN,NaN
R-Generic-1-P-27,-0.5,0.0204081535,7.06239152E-05,-2.86706751E-07,-2.38240937E-12,1.16370746E-09,NaN,NaN
R-Generic-1-P-28,-0.5,0.0285714418,7.063656E-05,-3.98546E-07,-2.35179671E-12,1.16237309E-09,NaN,NaN
R-Generic-1-P-29,-0.5,0.0367347,7.065374E-05,-5.102861E-07,-2.320363E-12,1.16056642E-09,NaN,NaN
R-Generic-1-P-30,-0.5,0.04489796,7.06745559E-05,-6.20017431E-07,-2.28880478E-12,1.15836518E-09,NaN,NaN
R-Generic-1-P-31,-0.5,0.053061232,7.069979E-05,-7.290908E-07,-2.256542E-12,1.15570575E-09,NaN,NaN
R-Generic-1-P-32,-0.5,0.0612244755,7.07284562E-05,-8.35682954E-07,-2.22427827E-12,1.15267229E-09,NaN,NaN
R-Generic-1-P-33,-0.5,0.06938775,7.076132E-05,-9.41164558E-07,-2.19136146E-12,1.149193E-09,NaN,NaN
R-Generic-1-P-34,-0.5,0.07755102,7.079726E-05,-1.04366234E-06,-2.15855372E-12,1.14537524E-09,NaN,NaN
R-Generic-1-P-35,-0.5,0.0857142955,7.083388E-05,-1.13961551E-06,-2.12725887E-12,1.141426E-09,NaN,NaN
R-Generic-1-P-36,-0.5,0.09387757,7.087616E-05,-1.23662062E-06,-2.094355E-12,1.1369099E-09,NaN,NaN
R-Generic-1-P-37,-0.5,0.102040812,7.092272E-05,-1.33349442E-06,-2.06040024E-12,1.13195409E-09,NaN,NaN
R-Generic-1-P-38,-0.5,0.110204086,7.097086E-05,-1.42484021E-06,-2.02739388E-12,1.12678145E-09,NaN,NaN
R-Generic-1-P-39,-0.5,0.118367329,7.102761E-05,-1.51996437E-06,-1.99114119E-12,1.12079168E-09,NaN,NaN
R-Generic-1-P-40,-0.5,0.126530632,7.108144E-05,-1.6055335E-06,-1.95799713E-12,1.11499643E-09,NaN,NaN
R-Generic-1-P-41,-0.5,0.134693876,7.113916E-05,-1.68913527E-06,-1.92417631E-12,1.10879483E-09,NaN,NaN
R-Generic-1-P-42,-0.5,0.142857149,7.119725E-05,-1.76796516E-06,-1.8913213E-12,1.1024921E-09,NaN,NaN
R-Generic-1-P-43,-0.5,0.151020423,7.125938E-05,-1.84473549E-06,-1.85765617E-12,1.09577358E-09,NaN,NaN
R-Generic-1-P-44,-0.5,0.159183666,7.132104E-05,-1.91647746E-06,-1.82517521E-12,1.0890403E-09,NaN,NaN
R-Generic-1-P-45,-0.5,0.167346939,7.138693E-05,-1.98607268E-06,-1.791716E-12,1.08187548E-09,NaN,NaN
